AFG,10/3/2011,23:18:19,30.26,31.56,829170,466323,-2.61,
AFK,10/3/2011,23:18:19,25.52,26.00,11288,26250,-1.32,
AFL,10/3/2011,23:18:19,33.56,35.30,7085858,5023560,-3.95,
AFO,3/22/2011,23:18:19,N/A,N/A,0,1190,0.00,
AFP,N/A,23:18:19,N/A,N/A,N/A,0,N/A,
AFQ,10/3/2011,23:18:19,25.83,26.06,8768,13357,+1.48,
AGA,10/3/2011,23:18:19,17.80,19.73,72819,29064,-0.37,
AGC,10/3/2011,23:18:19,6.06,6.28,149901,139272,-3.81,
AGCO,10/3/2011,23:18:19,32.28,34.33,2283364,2054770,-6.31,
AGD,10/3/2011,23:18:19,5.14,5.40,277963,142395,-3.18,
AGF,10/3/2011,23:18:19,18.02,18.47,5739,8062,-0.92,
AGG,10/3/2011,23:18:19,109.94,110.39,2372406,1094750,+0.41,
AGL,10/3/2011,23:18:19,38.92,41.04,688014,526219,-4.27,
AGM,10/3/2011,23:18:19,17.92,19.46,103673,100041,-5.73,
AGM.A,N/A,23:18:19,N/A,N/A,N/A,0,N/A,
AGN,10/3/2011,23:18:19,79.36,82.55,3191724,2021180,-3.34,
AGO,10/3/2011,23:18:19,10.28,11.03,3165709,2497230,-5.82,
AGP,10/3/2011,23:18:19,37.95,39.95,1681428,1725230,-2.59,
AGQ,10/3/2011,23:18:19,107.41,113.10,1255213,1675440,+3.93,
AGR,3/14/2011,23:18:19,N/A,N/A,0,3589,0.00,
AGU,10/3/2011,23:18:19,63.97,66.96,2005093,1512490,-3.86,
AGX,10/3/2011,23:18:19,9.36,10.10,19733,15531,-8.06,
AGZ,10/3/2011,23:18:19,112.47,112.95,329587,21580,+0.34,
AH,10/3/2011,23:18:19,19.77,21.59,803803,660948,-6.83,
AHB,10/3/2011,23:18:19,9.41,9.60,1200,1330,-2.18,
AHC,10/3/2011,23:18:19,3.91,4.18,90722,108583,-6.67,
AHD,N/A,23:18:19,N/A,N/A,N/A,0,N/A,
AHL,10/3/2011,23:18:19,22.08,23.23,606316,585969,-3.82,
AHS,10/3/2011,23:18:19,3.64,4.02,298451,243684,-8.73,
AHT,10/3/2011,23:18:19,6.57,7.23,1115523,964728,-6.13,
AHY,10/3/2011,23:18:19,10.20,10.20,522,1181,0.00,
AI,10/3/2011,23:18:19,21.09,24.22,184192,67834,-9.36,
AIA,10/3/2011,23:18:19,35.48,36.7124,44809,47864,-1.61,
AIB,N/A,23:18:19,N/A,N/A,N/A,0,N/A,
AIG,10/3/2011,23:18:19,20.28,22.14,9693905,7765350,-6.79,
AIM,10/3/2011,23:18:19,2.48,2.60,6575,3258,-4.58,
AIN,10/3/2011,23:18:19,17.11,18.61,277642,231623,-5.53,
AIP,10/3/2011,23:18:19,42.00,42.70,500,308,+6.46,
AIQ,10/3/2011,23:18:19,1.12,1.18,258743,258527,-0.88,
AIR,10/3/2011,23:18:19,15.14,16.92,411380,459936,-9.00,
AIS,10/3/2011,23:18:19,2.14,2.32,1038958,1054950,-7.76,
AIT,10/3/2011,23:18:19,25.98,27.67,434193,410892,-4.34,
AIV,10/3/2011,23:18:19,20.69,22.235,2407863,2147660,-6.37,
AIZ,10/3/2011,23:18:19,34.07,36.32,1844417,1273280,-4.83,
AJB,8/30/2011,23:18:19,N/A,N/A,0,0,0.00,
AJG,10/3/2011,23:18:19,25.52,26.68,715230,774092,-2.89,
AKE,9/28/2011,23:18:19,N/A,N/A,0,1827,0.00,
AKF,N/A,23:18:19,N/A,N/A,N/A,0,N/A,
AKN,10/3/2011,23:18:19,9.39,9.40,410,2645,+0.93,
AKO.A,N/A,23:18:19,N/A,N/A,N/A,0,N/A,
AKO.B,N/A,23:18:19,N/A,N/A,N/A,0,N/A,
AKP,10/3/2011,23:18:19,13.40,13.6896,37332,15189,-0.15,
AKR,10/3/2011,23:18:19,17.84,18.97,455288,330011,-4.55,
AKS,10/3/2011,23:18:19,5.77,6.49,13509360,9840230,-11.77,
AKT,N/A,23:18:19,N/A,N/A,N/A,0,N/A,
